Country,Year,Month,CumulativeTotalCases,MonthlyNewCases,ActiveCases,CumulativeTotalDeaths,MonthlyNewDeaths
Afghanistan,2020,2,6,0,6,0,0
Afghanistan,2020,3,1222,173,1166,29,4
Afghanistan,2020,4,27247,1997,23460,860,60
Afghanistan,2020,5,225655,13034,196532,4994,193
Afghanistan,2020,6,750884,16312,551209,14907,489
Afghanistan,2020,7,1077445,5158,355936,33392,526
Afghanistan,2020,8,1163050,1490,277404,42038,130
Afghanistan,2020,9,1163851,1103,171808,42939,56
Afghanistan,2020,10,1245921,2157,160416,46225,78
Afghanistan,2020,11,1308873,5073,201166,49011,238
Afghanistan,2020,12,1545612,6015,270799,62494,427
Afghanistan,2021,1,1673788,2546,196143,72097,203
Afghanistan,2021,2,1553778,674,127587,67904,40
Afghanistan,2021,3,1737781,784,119585,76278,45
Afghanistan,2021,4,1736736,3425,93858,76449,142
Afghanistan,2021,5,2004894,13039,208211,85729,343
Afghanistan,2021,6,2897816,47235,893834,116298,1988
Afghanistan,2021,7,4268709,27285,1427231,186237,1775
Afghanistan,2021,8,4701776,5759,1195237,217208,386
Afghanistan,2021,9,4630289,1931,847683,215244,83
Afghanistan,2021,10,4827506,1059,670025,224448,74
Afghanistan,2021,11,4701317,1053,466849,218884,28
Afghanistan,2021,12,4889366,795,218900,227323,48
Afghanistan,2022,1,4939007,4828,182959,228857,58
Afghanistan,2022,2,4760801,10832,341279,210129,189
Afghanistan,2022,3,5466116,4006,296472,236994,67
Afghanistan,2022,4,5350484,1115,277144,230307,13
Afghanistan,2022,5,2506233,364,130767,107590,7
Albania,2020,2,0,0,0,0,0
Albania,2020,3,2241,241,1907,91,14
Albania,2020,4,15632,530,7002,728,16
Albania,2020,5,28873,364,6138,975,2
Albania,2020,6,50880,1398,16917,1221,29
Albania,2020,7,119660,2741,48672,3302,95
Albania,2020,8,230278,4237,103039,6945,127
Albania,2020,9,350148,4136,139256,10286,103
Albania,2020,10,523084,7226,203983,13731,122
Albania,2020,11,866248,17307,422828,19239,301
Albania,2020,12,1540509,20134,689020,31857,371
Albania,2021,1,2088570,19811,798211,39485,199
Albania,2021,2,2610775,29040,944078,44037,416
Albania,2021,3,3652195,17990,1062528,63810,439
Albania,2021,4,3865660,5928,785734,69887,159
Albania,2021,5,4089156,1230,218792,75267,57
Albania,2021,6,3973547,206,5033,73605,5
Albania,2021,7,4113962,560,5167,76140,1
Albania,2021,8,4262873,13306,120791,76586,41
Albania,2021,9,4784904,23744,359928,77186,200
Albania,2021,10,5511798,15169,227176,87206,226
Albania,2021,11,5802461,14645,238946,90266,172
Albania,2021,12,6352608,10279,175820,97829,121
Albania,2022,1,7240008,48349,542701,101498,129
Albania,2022,2,7496153,12990,244802,95672,123
Albania,2022,3,8456398,2114,28153,108050,23
Albania,2022,4,8233111,1430,12034,104832,4
Albania,2022,5,3854750,467,3925,48949,1
Algeria,2020,2,5,0,5,0,0
Algeria,2020,3,4868,715,3891,326,44
Algeria,2020,4,69497,3290,36228,9197,406
Algeria,2020,5,211394,5388,84895,16901,203
Algeria,2020,6,337819,4513,80820,23600,259
Algeria,2020,7,674286,16487,174094,32720,298
Algeria,2020,8,1185130,14100,315711,42428,300
Algeria,2020,9,1458290,7036,382355,48964,226
Algeria,2020,10,1683531,6412,449282,57192,228
Algeria,2020,11,2074384,25257,635281,65251,467
Algeria,2020,12,2884170,16411,900314,81232,325
Algeria,2021,1,3212268,7729,943014,87734,135
Algeria,2021,2,3096937,5753,887531,82305,92
Algeria,2021,3,3577898,4100,1001723,94314,110
Algeria,2021,4,3581338,4916,991023,94693,160
Algeria,2021,5,3890403,6805,1075851,104551,219
Algeria,2021,6,4030796,10713,1117642,107894,244
Algeria,2021,7,4734511,31766,1355135,121911,538
Algeria,2021,8,5788899,24688,1735530,149055,1015
Algeria,2021,9,6016238,7279,1736126,168391,543
Algeria,2021,10,6358229,3093,1816726,181913,108
Algeria,2021,11,6249508,4079,1782139,179783,151
Algeria,2021,12,6636393,7901,1883111,191320,205
Algeria,2022,1,7141014,33685,2089953,199006,303
Algeria,2022,2,7317457,12819,2244714,188533,256
Algeria,2022,3,8228823,735,2496097,212805,39
Algeria,2022,4,7972081,109,2415943,206227,1
Algeria,2022,5,3721145,36,1127806,96250,0
Andorra,2020,2,0,0,0,0,0
Andorra,2020,3,2838,375,2766,39,12
Andorra,2020,4,19106,369,12553,917,30
Andorra,2020,5,23498,19,3475,1518,9
Andorra,2020,6,25511,91,727,1545,1
Andorra,2020,7,27174,70,685,1612,0
Andorra,2020,8,31382,251,3073,1632,1
Andorra,2020,9,45275,874,11557,1590,0
Andorra,2020,10,103067,2706,32054,1895,22
Andorra,2020,11,174907,1989,29293,2266,1
Andorra,2020,12,230115,1304,18031,2478,8
Andorra,2021,1,279226,1888,22674,2805,17
Andorra,2021,2,293412,929,13232,2986,9
Andorra,2021,3,352375,1144,11971,3499,5
Andorra,2021,4,380633,1222,15760,3637,10
Andorra,2021,5,418754,495,7726,3935,2
Andorra,2021,6,414764,184,2422,3810,0
Andorra,2021,7,442259,767,7784,3939,1
Andorra,2021,8,462595,355,5397,3999,2
Andorra,2021,9,453489,189,1709,3900,0
Andorra,2021,10,475994,294,2906,4030,0
Andorra,2021,11,481613,1669,12121,3907,1
Andorra,2021,12,630861,6555,62392,4195,9
Andorra,2022,1,931921,12218,145847,4417,5
Andorra,2022,2,1043282,2041,37330,4169,6
Andorra,2022,3,1211183,2025,21157,4720,2
Andorra,2022,4,1219226,1325,15922,4590,0
Andorra,2022,5,584251,807,8811,2142,0
Angola,2020,2,0,0,0,0,0
Angola,2020,3,48,6,40,6,0
Angola,2020,4,601,20,412,60,0
Angola,2020,5,1637,59,1086,85,2
Angola,2020,6,4660,198,2782,210,9
Angola,2020,7,20026,864,13404,914,39
Angola,2020,8,59160,1506,34250,2627,56
Angola,2020,9,111469,2318,65302,4268,75
Angola,2020,10,233487,5833,131979,7315,101
Angola,2020,11,404417,4334,198689,9636,64
Angola,2020,12,508018,2414,209578,11689,57
Angola,2021,1,580289,2243,93408,13481,61
Angola,2021,2,569508,1011,28685,13697,42
Angola,2021,3,666295,1504,32001,16193,29
Angola,2021,4,726071,4341,40614,16851,59
Angola,2021,5,948207,7899,124728,20979,170
Angola,2021,6,1109740,4298,160328,25209,134
Angola,2021,7,1260968,3928,153393,29592,111
Angola,2021,8,1394599,4767,76276,34363,206
Angola,2021,9,1553240,9703,145400,41320,331
Angola,2021,10,1929790,7186,302264,51239,162
Angola,2021,11,1946699,735,63711,51781,23
Angola,2021,12,2114984,16425,86879,53994,37
Angola,2022,1,2871481,16523,277833,57365,125
Angola,2022,2,2758828,625,10161,53138,5
Angola,2022,3,3067639,428,4439,58900,0
Angola,2022,4,2975820,25,4350,57000,0
