Country,Year,Month,PeopleVaccinated,PeopleFullyVaccinated,MonthlyVaccinations,PeopleVacPerHundred,PeopleFullyVacPerHundred
Afghanistan,2021,2,8200.0,0.0,8202.0,0.02,0.0
Afghanistan,2021,3,54000.0,0.0,85894.0,0.14,0.0
Afghanistan,2021,4,240000.0,0.0,219606.0,0.6,0.0
Afghanistan,2021,5,480226.0,119926.0,285838.0,1.21,0.3
Afghanistan,2021,6,699200.0,187654.0,242899.0,1.76,0.47
Afghanistan,2021,7,742934.0,219159.0,337196.0,1.87,0.55
Afghanistan,2021,8,773002.0,430744.0,591825.0,1.94,1.08
Afghanistan,2021,9,828601.0,0.0,563255.0,2.08,0.0
Afghanistan,2021,10,0.0,0.0,1064777.0,0.0,0.0
Afghanistan,2021,11,3530173.0,3188609.0,821215.0,8.86,8.0
Afghanistan,2021,12,4142857.0,3753224.0,476498.0,10.4,9.42
Afghanistan,2022,1,4554648.0,3892831.0,399710.0,11.43,9.77
Afghanistan,2022,2,4907058.0,4231984.0,406044.0,12.32,10.62
Afghanistan,2022,3,5082824.0,4420127.0,239039.0,12.76,11.1
Albania,2021,1,549.0,0.0,741.0,0.02,0.0
Albania,2021,2,6073.0,655.0,9504.0,0.21,0.02
Albania,2021,3,0.0,0.0,78590.0,0.0,0.0
Albania,2021,4,0.0,0.0,339023.0,0.0,0.0
Albania,2021,5,486128.0,290333.0,333048.0,16.92,10.11
Albania,2021,6,564530.0,403504.0,180622.0,19.65,14.05
Albania,2021,7,670215.0,528718.0,228113.0,23.33,18.4
Albania,2021,8,830396.0,641920.0,267844.0,28.9,22.34
Albania,2021,9,946495.0,794878.0,279183.0,32.95,27.67
Albania,2021,10,1013959.0,887865.0,178646.0,35.29,30.9
Albania,2021,11,1072645.0,961013.0,195174.0,37.34,33.45
Albania,2021,12,1141486.0,1031132.0,225969.0,39.73,35.89
Albania,2022,1,1210040.0,1111520.0,202067.0,42.12,38.69
Albania,2022,2,1269746.0,1196277.0,178941.0,44.2,41.64
Albania,2022,3,1278902.0,1215199.0,51515.0,44.52,42.3
Algeria,2021,1,30.0,0.0,1919.0,0.0,0.0
Algeria,2021,2,75000.0,0.0,212612.0,0.17,0.0
Algeria,2021,3,0.0,0.0,693439.0,0.0,0.0
Algeria,2021,4,0.0,0.0,671070.0,0.0,0.0
Algeria,2021,5,0.0,0.0,693439.0,0.0,0.0
Algeria,2021,6,0.0,0.0,671070.0,0.0,0.0
Algeria,2021,7,0.0,0.0,693439.0,0.0,0.0
Algeria,2021,8,3421279.0,724812.0,2569903.0,7.67,1.62
Algeria,2021,9,6017036.0,4032942.0,3923972.0,13.49,9.04
Algeria,2021,10,6364327.0,4815027.0,1031025.0,14.26,10.79
Algeria,2021,11,6875003.0,5391232.0,973754.0,15.41,12.08
Algeria,2021,12,7060737.0,5609040.0,573211.0,15.83,12.57
Algeria,2022,1,7247787.0,5796432.0,579285.0,16.24,12.99
Algeria,2022,2,7456361.0,6076272.0,370459.0,16.71,13.62
Algeria,2022,3,7461932.0,6110712.0,38763.0,16.72,13.7
Andorra,2021,1,576.0,0.0,396.0,0.74,0.0
Andorra,2021,2,2390.0,0.0,1710.0,3.09,0.0
Andorra,2021,3,7098.0,1265.0,8579.0,9.18,1.64
Andorra,2021,4,23822.0,4681.0,17392.0,30.8,6.05
Andorra,2021,5,27613.0,8303.0,6692.0,35.7,10.73
Andorra,2021,6,41716.0,26613.0,32200.0,53.93,34.4
Andorra,2021,7,48445.0,33904.0,17752.0,62.63,43.83
Andorra,2021,8,52910.0,43008.0,10473.0,68.4,55.6
Andorra,2021,9,54312.0,47720.0,6488.0,70.21,61.69
Andorra,2021,10,54999.0,49535.0,2268.0,71.1,64.04
Andorra,2021,11,0.0,0.0,1655.0,0.0,0.0
Andorra,2021,12,57085.0,51392.0,13093.0,73.8,66.44
Andorra,2022,1,57709.0,53104.0,21732.0,74.6,68.65
Andorra,2022,2,57805.0,53301.0,10627.0,74.73,68.91
Andorra,2022,3,57817.0,53367.0,442.0,74.74,68.99
Angola,2021,3,130750.0,0.0,123619.0,0.39,0.0
Angola,2021,4,456349.0,0.0,371211.0,1.34,0.0
Angola,2021,5,679034.0,230181.0,385967.0,2.0,0.68
Angola,2021,6,943301.0,544991.0,591825.0,2.78,1.61
Angola,2021,7,958373.0,634164.0,175073.0,2.82,1.87
Angola,2021,8,1110558.0,731010.0,301415.0,3.27,2.15
Angola,2021,9,2127405.0,1006732.0,1280419.0,6.27,2.97
Angola,2021,10,4498272.0,1665947.0,3069409.0,13.26,4.91
Angola,2021,11,6266044.0,2760266.0,3037952.0,18.47,8.13
Angola,2021,12,7685417.0,3929727.0,2146793.0,22.65,11.58
Angola,2022,1,9713546.0,4731866.0,3074376.0,28.63,13.94
Angola,2022,2,10591264.0,5448403.0,1844281.0,31.21,16.06
Angola,2022,3,11235059.0,5993792.0,1033207.0,33.11,17.66
Anguilla,2021,2,3929.0,0.0,4265.0,25.98,0.0
Anguilla,2021,3,5348.0,0.0,1708.0,35.36,0.0
Anguilla,2021,4,6115.0,783.0,2627.0,40.43,5.18
Anguilla,2021,5,9004.0,5439.0,6189.0,59.53,35.96
Anguilla,2021,6,9264.0,6525.0,1619.0,61.25,43.14
Anguilla,2021,7,9428.0,8765.0,2158.0,62.33,57.95
Anguilla,2021,8,9493.0,8965.0,325.0,62.76,59.27
Anguilla,2021,9,9498.0,9086.0,168.0,62.8,60.07
Anguilla,2021,10,9548.0,9156.0,69.0,63.13,60.54
Anguilla,2021,11,9911.0,9156.0,894.0,65.53,60.54
Anguilla,2021,12,10079.0,9223.0,1102.0,66.64,60.98
Anguilla,2022,1,10193.0,9336.0,764.0,67.39,61.73
Anguilla,2022,2,10370.0,9531.0,727.0,68.56,63.01
Anguilla,2022,3,10572.0,9624.0,513.0,69.9,63.63
Antigua and Barbuda,2021,2,0.0,0.0,10740.0,0.0,0.0
Antigua and Barbuda,2021,3,26836.0,0.0,18580.0,27.18,0.0
Antigua and Barbuda,2021,4,29754.0,0.0,3568.0,30.14,0.0
Antigua and Barbuda,2021,5,33463.0,16866.0,16565.0,33.89,17.08
Antigua and Barbuda,2021,6,36432.0,27563.0,16985.0,36.9,27.92
Antigua and Barbuda,2021,7,38146.0,30704.0,4947.0,38.64,31.1
Antigua and Barbuda,2021,8,41061.0,34008.0,5234.0,41.59,34.45
Antigua and Barbuda,2021,9,51148.0,42170.0,18246.0,51.81,42.71
Antigua and Barbuda,2021,10,56269.0,50118.0,13762.0,56.99,50.76
Antigua and Barbuda,2021,11,61418.0,56219.0,11860.0,62.21,56.94
Antigua and Barbuda,2021,12,62283.0,58863.0,3235.0,63.09,59.62
Antigua and Barbuda,2022,1,63197.0,60358.0,2549.0,64.01,61.14
Antigua and Barbuda,2022,2,63582.0,61144.0,1076.0,64.4,61.93
Antigua and Barbuda,2022,3,63836.0,61550.0,650.0,64.66,62.34
Argentina,2020,12,43384.0,10.0,31556.0,0.1,0.0
Argentina,2021,1,287195.0,102503.0,340517.0,0.63,0.22
Argentina,2021,2,966182.0,307812.0,778591.0,2.12,0.67
Argentina,2021,3,3567283.0,708619.0,2766834.0,7.82,1.55
Argentina,2021,4,7319331.0,1016788.0,4010328.0,16.05,2.23
Argentina,2021,5,10017919.0,2994372.0,4445401.0,21.97,6.57
Argentina,2021,6,17533769.0,4310219.0,8463779.0,38.45,9.45
Argentina,2021,7,25754592.0,7361549.0,11133853.0,56.47,16.14
Argentina,2021,8,28584629.0,15457717.0,10997504.0,62.68,33.89
Argentina,2021,9,30106660.0,22991952.0,9274843.0,66.01,50.41
Argentina,2021,10,35042355.0,26528049.0,8577483.0,76.84,58.17
Argentina,2021,11,37335648.0,30486571.0,8256342.0,81.87,66.85
Argentina,2021,12,38756611.0,33382193.0,8061883.0,84.98,73.2
Argentina,2022,1,40161078.0,35337235.0,10735912.0,88.06,77.48
Argentina,2022,2,40741939.0,36493782.0,5874715.0,89.33,80.02
Argentina,2022,3,40907186.0,36924451.0,2647149.0,89.7,80.96
Armenia,2021,3,565.0,0.0,0.0,0.02,0.0
Armenia,2021,4,0.0,0.0,7830.0,0.0,0.0
Armenia,2021,5,33529.0,0.0,24064.0,1.13,0.0
Armenia,2021,6,58518.0,16196.0,43821.0,1.97,0.55
Armenia,2021,7,108674.0,43855.0,85342.0,3.66,1.48
Armenia,2021,8,176552.0,98586.0,108731.0,5.95,3.32
Armenia,2021,9,264695.0,143840.0,146487.0,8.92,4.85
Armenia,2021,10,579360.0,252496.0,363305.0,19.52,8.51
Armenia,2021,11,799403.0,436861.0,437568.0,26.93,14.72
Armenia,2021,12,934028.0,692082.0,418445.0,31.47,23.32
Armenia,2022,1,1032249.0,842213.0,231142.0,34.78,28.38
Armenia,2022,2,1100694.0,919397.0,161359.0,37.08,30.98
Armenia,2022,3,1113472.0,948778.0,51160.0,37.51,31.97
Aruba,2021,3,15600.0,10166.0,2556.0,14.55,9.48
Aruba,2021,4,54306.0,22559.0,49393.0,50.66,21.04
Aruba,2021,5,63113.0,51041.0,39008.0,58.88,47.62
Aruba,2021,6,67827.0,59429.0,12931.0,63.27,55.44
Aruba,2021,7,72793.0,65716.0,11136.0,67.91,61.31
Aruba,2021,8,78669.0,69556.0,10505.0,73.39,64.89
Aruba,2021,9,81374.0,74805.0,8360.0,75.91,69.78
Aruba,2021,10,82650.0,76756.0,3437.0,77.1,71.6
Aruba,2021,11,83640.0,78003.0,2338.0,78.03,72.77
Aruba,2021,12,84751.0,79008.0,2004.0,79.06,73.7
Aruba,2022,1,86627.0,79813.0,2712.0,80.81,74.46
Aruba,2022,2,87378.0,80442.0,1495.0,81.51,75.04
Aruba,2022,3,87884.0,81347.0,1229.0,81.99,75.89
Australia,2021,2,34618.0,12.0,33876.0,0.13,0.0
Australia,2021,3,671606.0,72724.0,556918.0,2.6,0.28
Australia,2021,4,1976315.0,258529.0,1478905.0,7.66,1.0
Australia,2021,5,3856485.0,506254.0,2044108.0,14.95,1.96
Australia,2021,6,6109102.0,1633434.0,3325597.0,23.69,6.33
Australia,2021,7,8407015.0,3927056.0,4357441.0,32.6,15.23
Australia,2021,8,12293802.0,7369320.0,7076785.0,47.67,28.58
Australia,2021,9,16649549.0,11386339.0,8272203.0,64.56,44.15
Australia,2021,10,19052562.0,16529442.0,7985714.0,73.88,64.1
Australia,2021,11,20025197.0,18808812.0,3931646.0,77.65,72.94
Australia,2021,12,20444346.0,19755837.0,3285906.0,79.28,76.61
Australia,2022,1,21683520.0,20211402.0,6914955.0,84.08,78.37
Australia,2022,2,22055898.0,20483240.0,4561982.0,85.53,79.43
Australia,2022,3,22202366.0,21200432.0,2245855.0,86.1,82.21
Austria,2021,1,242173.0,22637.0,265812.0,2.68,0.25
Austria,2021,2,460343.0,252198.0,436026.0,5.09,2.79
Austria,2021,3,1191140.0,440057.0,998340.0,13.17,4.87
Austria,2021,4,2414584.0,888696.0,1453481.0,26.7,9.83
Austria,2021,5,3694349.0,1568463.0,2086430.0,40.85,17.34
Austria,2021,6,4770140.0,2994963.0,2601765.0,52.75,33.12
Austria,2021,7,5380410.0,4713987.0,1962643.0,59.5,52.13
Austria,2021,8,5567717.0,5277541.0,800413.0,61.57,58.36
Austria,2021,9,5783829.0,5472182.0,436175.0,63.96,60.51
Austria,2021,10,5981297.0,5673368.0,623298.0,66.14,62.74
Austria,2021,11,6399033.0,5875271.0,2354878.0,70.76,64.97
Austria,2021,12,6663971.0,6283334.0,2453370.0,73.69,69.48
Austria,2022,1,6774377.0,6483315.0,1165915.0,74.91,71.69
Austria,2022,2,6803539.0,6567746.0,402161.0,75.23,72.63
Austria,2022,3,6812569.0,6588761.0,91242.0,75.33,72.86
Azerbaijan,2021,1,0.0,0.0,45500.0,0.0,0.0
Azerbaijan,2021,2,65000.0,0.0,217899.0,0.64,0.0
Azerbaijan,2021,3,510420.0,0.0,379664.0,4.99,0.0
Azerbaijan,2021,4,966132.0,522086.0,811774.0,9.45,5.11
Azerbaijan,2021,5,1352958.0,900258.0,707417.0,13.23,8.81
Azerbaijan,2021,6,2214990.0,1296229.0,1174588.0,21.67,12.68
Azerbaijan,2021,7,2880131.0,2092231.0,1405884.0,28.17,20.47
Azerbaijan,2021,8,4113716.0,2692024.0,1841591.0,40.24,26.33
Azerbaijan,2021,9,4762232.0,3792396.0,1808388.0,46.58,37.1
Azerbaijan,2021,10,4991242.0,4402450.0,1137573.0,48.82,43.06
Azerbaijan,2021,11,5079349.0,4566911.0,929130.0,49.68,44.67
Azerbaijan,2021,12,5169382.0,4676520.0,814401.0,50.56,45.74
Azerbaijan,2022,1,5230388.0,4742174.0,669680.0,51.16,46.39
Azerbaijan,2022,2,5280393.0,4772019.0,993320.0,51.65,46.68
Azerbaijan,2022,3,5322427.0,4821276.0,470064.0,52.06,47.16
Bahamas,2021,3,7000.0,0.0,7038.0,1.76,0.0
Bahamas,2021,4,25692.0,0.0,19378.0,6.47,0.0
Bahamas,2021,5,46378.0,8659.0,28655.0,11.68,2.18
Bahamas,2021,6,58122.0,32945.0,36899.0,14.64,8.3
Bahamas,2021,7,61803.0,46793.0,12860.0,15.57,11.79
Bahamas,2021,8,91967.0,57593.0,41652.0,23.17,14.51
Bahamas,2021,9,114333.0,70128.0,48429.0,28.81,17.67
Bahamas,2021,10,132240.0,122845.0,58944.0,33.32,30.95
Bahamas,2021,11,151709.0,138266.0,25660.0,38.22,34.84
Bahamas,2021,12,157041.0,147365.0,24242.0,39.57,37.13
Bahamas,2022,1,160505.0,151520.0,16226.0,40.44,38.17
Bahamas,2022,2,163061.0,153878.0,8499.0,41.08,38.77
Bahamas,2022,3,164961.0,156089.0,5581.0,41.56,39.33
Bahrain,2020,12,58643.0,0.0,34657.0,3.35,0.0
Bahrain,2021,1,171568.0,0.0,166495.0,9.81,0.0
Bahrain,2021,2,298171.0,0.0,215936.0,17.05,0.0
Bahrain,2021,3,510877.0,255440.0,299172.0,29.22,14.61
Bahrain,2021,4,693423.0,541747.0,467272.0,39.66,30.99
Bahrain,2021,5,941674.0,791054.0,469479.0,53.86,45.25
Bahrain,2021,6,1057888.0,987140.0,383950.0,60.51,56.46
Bahrain,2021,7,1108252.0,1055185.0,231478.0,63.39,60.36
Bahrain,2021,8,1146939.0,1088446.0,189211.0,65.6,62.26
Bahrain,2021,9,1165178.0,1119298.0,90888.0,66.65,64.02
Bahrain,2021,10,1177521.0,1141443.0,190527.0,67.35,65.29
Bahrain,2021,11,1188539.0,1159574.0,143319.0,67.98,66.33
Bahrain,2021,12,1203146.0,1177993.0,300140.0,68.82,67.38
Bahrain,2022,1,1223859.0,1193959.0,146507.0,70.0,68.29
Bahrain,2022,2,1227305.0,1197343.0,48678.0,70.2,68.49
Bahrain,2022,3,1232740.0,1216033.0,21972.0,70.51,69.56
Bangladesh,2021,1,567.0,0.0,5139.0,0.0,0.0
Bangladesh,2021,2,3110525.0,0.0,2759688.0,1.87,0.0
Bangladesh,2021,3,5370431.0,0.0,2503853.0,3.23,0.0
